hour_of_day,location_type,traffic_congestion_index,utilization_rate,util_30_mins_ago,is_peak_hour
0,Hotel/Hospitality,2.0027322404371586,0.2307677595628415,0.25770765027322406,False
0,Residential,2.0054644808743167,0.34520491803278686,0.4077650273224043,False
0,Shopping Center,1.9959016393442623,0.1269262295081967,0.1910382513661202,False
0,Workplace,1.9371584699453552,0.02297814207650273,0.023054644808743172,False
1,Hotel/Hospitality,1.9972677595628416,0.1724590163934426,0.20341803278688528,False
1,Residential,2.0054644808743167,0.3280573770491803,0.33471857923497267,False
1,Shopping Center,2.0423497267759565,0.06435792349726775,0.09563661202185793,False
1,Workplace,2.0027322404371586,0.02298633879781421,0.022934426229508198,False
2,Hotel/Hospitality,2.0327868852459017,0.11472677595628415,0.1424808743169399,False
2,Residential,1.9808743169398908,0.2938497267759563,0.31085245901639347,False
2,Shopping Center,1.9549180327868851,0.0381775956284153,0.051286885245901644,False
2,Workplace,2.057377049180328,0.02273224043715847,0.02283333333333333,False
3,Hotel/Hospitality,1.959016393442623,0.09337158469945354,0.10404918032786885,False
3,Residential,1.989071038251366,0.25050819672131147,0.2718633879781421,False
3,Shopping Center,1.9918032786885247,0.02580601092896175,0.03185382513661202,False
3,Workplace,1.9207650273224044,0.023166666666666665,0.02294535519125683,False
4,Hotel/Hospitality,1.9207650273224044,0.09175956284153006,0.09418579234972678,False
4,Residential,1.9754098360655739,0.23176502732240437,0.24252185792349729,False
4,Shopping Center,2.019125683060109,0.025762295081967215,0.025994535519125683,False
4,Workplace,1.9836065573770492,0.022866120218579235,0.022937158469945353,False
5,Hotel/Hospitality,1.969945355191257,0.11484153005464481,0.10224043715846995,False
5,Residential,2.0273224043715845,0.17181693989071037,0.20129781420765028,False
5,Shopping Center,1.965846994535519,0.06281420765027322,0.044267759562841534,False
5,Workplace,1.9726775956284153,0.031467213114754096,0.026904371584699452,False
6,Hotel/Hospitality,4.945355191256831,0.1711120218579235,0.14203551912568305,False
6,Residential,5.087431693989071,0.1154398907103825,0.14342349726775958,False
6,Shopping Center,4.9603825136612025,0.12828142076502733,0.09634426229508197,False
6,Workplace,5.155737704918033,0.09160382513661203,0.06232786885245902,False
7,Hotel/Hospitality,8.147540983606557,0.2934207650273224,0.232,True
7,Residential,8.010928961748634,0.09110928961748634,0.10285245901639344,True
7,Shopping Center,7.919398907103825,0.32259562841530054,0.22596721311475407,True
7,Workplace,7.969945355191257,0.31509016393442624,0.20340163934426228,True
8,Hotel/Hospitality,8.002732240437158,0.460379781420765,0.3799535519125683,True
8,Residential,8.07103825136612,0.058196721311475415,0.0748688524590164,True
8,Shopping Center,7.991803278688525,0.5120532786885246,0.4137308743169399,True
8,Workplace,8.087431693989071,0.6247841530054644,0.47223224043715845,True
9,Hotel/Hospitality,7.967213114754099,0.5893333333333334,0.5262486338797814,True
9,Residential,8.010928961748634,0.05845628415300547,0.05822677595628415,True
9,Shopping Center,8.081967213114755,0.6415614754098361,0.5807896174863387,True
9,Workplace,8.03825136612022,0.7081065573770491,0.6623770491803279,True
